,complaint_id,date_received,product,issue,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed?,consumer_complaint_narrative,month
202871,1305839,2015-03-28,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",GA,Web,Closed with explanation,Yes,No,transition dispute department continue report credit information wrong reporting negative credit account transition continue disregard chapter bankruptcy reject file chapter several company report account report refused continue reported item collection number account delinquency pay agreed transition access credit adverse public record low credit score,3
202876,1315896,2015-04-04,Credit reporting,Unable to get credit report/credit score,Equifax,CA,Web,Closed with explanation,Yes,No,refused send report email company make use mail,4
202877,1316187,2015-04-04,Credit reporting,Incorrect information on credit report,Experian,NY,Web,Closed with non-monetary relief,Yes,Yes,public record unpaid tax line ny provided proof vacated delete experian delete reappeared trying buy thousand causing tremendous financial strain made rico score drop,4
202883,1315897,2015-04-04,Student loan,Dealing with my lender or servicer,ACS Education Services,NY,Web,Closed with explanation,Yes,No,loan company name failed letter stating owed almost 5000 dollar student loan attended class taken loan paid recently gotten modification said 5000 dollar loan applied said loan looked saw fraud debt collector would like report,4
202885,1315899,2015-04-04,Mortgage,"Loan modification,collection,foreclosure",Ditech Financial LLC,GA,Web,Closed with explanation,Yes,No,got behind house payment mortgage company would take money money catch late payment sent u foreclosure got run around amount needed send finally got letter attorney stating amount owed via terrified check took check attorney person received restatement letter mortgage company post fund account telling u may owe account money since 2015 told take 48 hour post 4 day gotten several different people give u different reason letter stated 2015 pay total get restatement telling u call back see owe anymore money charged u forecast late fee also charged u inspection done property done xxxi,4
202890,1306105,2015-03-28,Payday loan,Can't stop charges to bank account,"Community Choice Financial, Inc.",AL,Web,Closed with explanation,Yes,No,cash central ran debit bank account every single day hurt payment late ruined bank account bank closed account cash central trying hurt running charge bank trying get money debit due certain date month debated account another day kept biting account ran hundred dollar pay bank agreement anyway never told run debit account every single day every single day bank charging bank fee time debit came ruined bank account closed bank account cash central never seen thing like whole life loan late caused bank account closed wanted money bad could contracted would told problem wanted ruin disappointed bank account care account ca get paid like fee bank charged went bank get money trying smart trying hurt well good job ruining credit bank ca get money way company suppose handle situation like try hurt customer done hurt serf running charge caused get money smart guest thought smart work way wanted work let everyone know aware company one need kind action professional way get money hurting customer handle way arrangement answer let everyone know aware tactic smart legal bank account care owed 100000 dollar proper way handle situation wrong tell everyone operate come borrowing money held liable action paid money owed professional part needed call could set type arrangement caused account closed assume thought smart hurt serf everyone know spill every know every day phone call professional well would made arrangement pay ran debit account every single day lost money could money smart well least thought smart get 400 500 dollar month long take pay plan caused fee bank charging every day debit came account fault never would done made trying smart running debit account every single day suffer like pay money feel owe nothing money caused pay bank money pay bank ridiculous made sense run debit account like wanted suffer like,3
202893,1315900,2015-04-04,Mortgage,"Application, originator, mortgage broker",Guaranteed Rate,NV,Web,Closed with explanation,Yes,Yes,guaranteed rate originated loan home clause say loan paid supposed instruct trustee recovery house eliminate evidence debt sent request statement account eventually admitted interest property mortgage time suddenly sent service for grip assigned mortgagevia mere standing nevadathe assignment supposed go way late allowed even late either lied interest note assigned illegally late told truth note allowed receive 25 year mortgage payment threaten foreclosure authorization also supported actual lender whereas mere report show service inform u bank lender committed fraud beginning also deposit note trust required pa agreement furthermore sent grip letter recession owe u either mortgage payment ardor closing cost another clause dot borrowed covenant borrowed lawfully seized estate hereby conveyed right mortgage grant convey property property numbered except encumbrance record borrowed warrant defend generally title property claim demand subject encumbrance record contractual obliged generally defend title property claim demand clear cut even ambiguous doctrine contract proferentem applicable ambiguity construed unfavorable drafted grip drafted contract,4
202899,1306018,2015-03-28,Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",TN,Web,Closed with explanation,Yes,No,graduated tennessee 2010 missed grade lost scholarship continued degree financing student loan federal private granulating discovered sold across country ineligible consolidate income meet criterion began pay student loan several slight issue easily readily remedied loan company sold loan portfolio patient parent attempt help pay student loan agreed pay highest interest loan loan 1425 interest compound daily made initial payment make certain would process properly 50000 said loan payment plus payment month process properly applied towards loan determined 1425 interest thing took turn worse made another payment 850000 towards loan making certain rotate wished go towards loan 1425 interest according webster showed owed something near 40000 remaining loan continued check webster verify would stay process properly almost week first day check payment second 850000 payment got reallocated towards loan portfolio according matrix one explain catch longed make payment noted difference phone patient within week asking really 850000 payment solely loan 1425 easily done assured told check back within week checked back sure enough replied 850000 payment towards 1425 loan taken away 50000 payment repressed towards loan loan initial payment made showed le 50000 left principal showed 100000 since talked numerous associate patient tried explain situation variety assurance civility shown nothing changed standing loan talking patient loan 3 month missed 3 month parent trying get payoff quote pay remaining balance 100000 closer 50000 put hold hour e hung e asked call back e told line department reply loan patient led issue continue e told continues accrue interest compound daily issue continues go resolved,3
202900,1314360,2015-04-04,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,LA,Web,Closed with explanation,Yes,No,last payment e sent pay mortgage chase received going dispute chase way processing payment seems taking longer longer sometimes day payment arrive least according claim resulted late fee currently refusing pay disputing good reason believe intentionally lost last payment form retaliation attempting dispute late fee also twitching pay phone system harder falsity mail,4
202901,1315904,2015-04-04,Credit reporting,Incorrect information on credit report,Experian,CA,Web,Closed with non-monetary relief,Yes,No,experian continuing report collection account credit report belong disputed item experian removed contracted debt collection company directly let know account mine asked verify account never account lowering credit score cause miss financial opportunity well lose job opportunity,4
202907,1295231,2015-03-23,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,MN,Web,Closed with explanation,Yes,No,may concern submitted numerous complaint agency regarding awful practice chase home financial company refusing accurately report 2011 short sale short sale instead continue report credit bureau loan paid foreclosure started account referred case foreclosure department within month sale closed short sale month chase already agreed short sale sale process per case agreement per it webster short sale foreclosure treated loan closed short sale bank never took posse home never chase allowed continue report short sale credit bureau manner cause threat short sale foreclosure reporting purpose keeping credit 7 year thereby damaging entire credit rating holding hostage financial perspective reporting cap year you done nothing enforce mandate regarding short sale stated for webster live also spoken attorney taking action chase attorney advised case would losing proposition given cap demanded published regulation requiring bank credit bureau properly treat short sale short sale versus foreclosure information for webster consumer rely bank credit bureau required adhere negotiated short sale chase transaction closed short sale live submitted volume document agency evincing chase disagree sale closed short sale however despite fact chase agreed short sale still referred property foreclosure month sale closing allowed damage credit erroneously reporting short sale foreclosure credit bureau treating cap requires credit bureau bank follow standard articulated for distinguish consumer like continue held hostage bank unfairly punished something happen cap need address lack enforcement area stop taking mortgage complaint regarding short sale reporting worse bank clearly articulated mandate bank credit bureau follow enforcing consumer expense annoyed disappointed,3
202910,1306020,2015-03-28,Debt collection,Cont'd attempts collect debt not owed,"PayPal Holdings, Inc.",KS,Web,Closed with non-monetary relief,Yes,No,received letter stating owe collection pal amount state owe checked account pal state balance 000 open credit card account pal credit report show open account pal indicating identity stolen know received collection unless mistake part want effect credit,3
202911,1306021,2015-03-28,Credit card,Closing/Cancelling account,Bank of America,IN,Web,Closed with explanation,Yes,No,2015 closed bank america credit card account 2015 2015 bank america accepted posted charge closed statement attached called bank america 2015 spoke identified supervisor dispute department informed account closed also informed company authorized post charge account refused accept dispute charge advised bank america continue post charge closed account advised responsibility work vendor charge stopped repeated statement account closed 2015 bank america informed company authorized bill closed account refused accept dispute repeated bank america continue refusing honor closing account continue accepting charge posting closed account spite advised charge authorized,3
202913,1315911,2015-04-04,Credit reporting,Credit reporting company's investigation,Equifax,MA,Web,Closed with explanation,Yes,No,father struggling correct credit profile recently paid account collection opened new credit card account time year credit bad experian worked helped huge meeting item supposed report getting back timely manner matter equifax hand opposite trying remove credit inquiry inquired day since type close date delete equifax refused agency phone right single additional question knew equifax called time 2 week speaking people say removing absurd people charge credit score report really need help little may sound important family,4
202914,1315912,2015-04-04,Mortgage,"Loan servicing, payments, escrow account",Fifth Third Financial Corporation,VA,Web,Closed with monetary relief,Yes,No,xxxx2015 sent letter informing fifth third bank process payment electronically anymore letter sent terrified mail receipt sent letter terrified mail xxxx2015 receipt show fifth third bank received signed mail xxxxxxxx2015 letter enclosed mortgage payment month amount 170000 fifth third bank washed check xxxx2015 cleared account xxxx2015 3 business day received letter fifth third bank tried make electronic transfer amount 170000 also incorrect amount mortgage payment clearly violation electronic fund transfer act 12 cf 100510 see 1 consumer right stop payment state consumer may stop payment preauthorized effect electronic fund transfer consumer account notifying financial institution morally writing least 3 business day schedule date transfer result fifth third bank trying complete effect amount cover mortgage already paid charged 3000 bank hold checking account bank insufficient fund fifth third calling trying collect additional money well check clear called talked several representative either refusing help trying collect money saying help explained mortgage payment due yet representative saying effect tried process payment explained continue pay mortgage monthly check longer use effect fifth third bank also reimbursed 3000 make whole result insufficient fund charge due violating federal regulation regarding electronic fund transfer act copy letter failed well terrified mail receipt o form domestic return receipt need provided,4
202915,1315913,2015-04-04,Bank account or service,"Account opening, closing, or management",Banco Popular North America,CA,Web,Closed with monetary relief,Yes,No,got ulcer form popular community bank saying open saving account deposit 100000 get 10000 bonus keep account open month ulcer opened account popular community bank located 2014 required ulcer deposited total 110000 form deposit 100000 another 10000 time deposit receipt month failed credit account 10000 bonus visited branch since taken branch popular refused honor bonus called popular said contact stonewalled bank filing complaint see done thing people interested seeing kind ethical behavior exposed corrected xxxxemail xxxxxxxxxxxx,4
202919,1306024,2015-03-28,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,CA,Web,Closed with explanation,Yes,No,5 year loan modification sold sold nationstar mortgage 2014 original 5 year modification ended nationstar sent letter stating mortgage payment went 120000 month 220000 month way could afford tried loan modification nationstar month came back said congratulation e approved new monthly payment would 210000 month now took whole 1400 per month trying work loan modification specialist work something responsive get back week instance appears either send default notice possibly short sale cash key home 14 year 60 day,3
202923,1315915,2015-04-04,Credit card,Billing statement,Bank of America,CO,Web,Closed with monetary relief,Yes,No,bank america card 17 year within past year e problem account first problem remained statement delivered regularly since resulted several late charge checked june mail older delete item received statement receive another lead second serious problem longed account pay account payment go bank america record log however record payment frustrated late fee email problem paid balance canceled card received another statement payment go called bank america told record payment bank america canceled reason maybe pitch transaction canceled consent without ratification trying get late fee reversed statement hour phone bank america admits mistake transaction bank america represent stated case currently pending internal investigation,4
202926,1306028,2015-03-28,Debt collection,Improper contact or sharing of info,"HOVG, LLC",OK,Web,Closed with explanation,Yes,Yes,past week received call call would come everyother day exception past day past day everyday time called row answered time hang finally yesterday 2015 getting hung time answered called back see company called bay area credit service guy answered wanted give social declined share into declined tell reason numerous call told cease desist calling promised quit calling morning called back spoke advised supervisor name confirmed yesterday requested call stop began argue meant told cease desist call said would certain phone number reached rocket scientist someone say cease desist call mean quit calling communicate mean mail yet receive letter confirmation debt,3
202927,1306029,2015-03-28,Credit card,Billing disputes,Synchrony Financial,TX,Web,Closed with monetary relief,Yes,No,bank raised monthly payment keep calling time insisting make payment past due giving amount never reflected bill charging late fee removed payment made due date could process happened made payment charging amount never reflected bill never provided representative spoke phone never provided amount telling pay next payment,3
202930,1314421,2015-04-04,Credit card,Rewards,U.S. Bancorp,FL,Web,Closed with non-monetary relief,Yes,No,credit card u bank personal isa card account opened month ago sent communication cutting core benefit card hotel night longer offered booking reward stay night primary reason opened account part card act cap rule thought issue allowed cut card benefit first year cardmembership charge annual fee benefit paid opening remove benefit year annual fee paid feel seriously deceived misled deserve refund annual fee minimum additional pointscompensation credit pull false pretense thanks help xxxi,4
202933,1305777,2015-03-28,Debt collection,Disclosure verification of debt,"Afni, Inc.",GA,Web,Closed with explanation,Yes,Yes,disputed account and came back verified crash contracted and xxxxxxxx2015 via email making fera 623 request purification account including original contract filling documentation substantiate account filling received acknowledgment xxxxxxxx2015 via email request received would touch heard nothing else date and failed delete negative infoaccount car required per fera 623 since company failed reply fera 623 request choice assume unable verify account thereby need remove negative information fera perpetuating adverse action based reporting,3
202934,1306032,2015-03-28,Mortgage,"Loan modification,collection,foreclosure",Specialized Loan Servicing LLC,CA,Web,Closed with explanation,Yes,No,bought house loan paying xxxiv month loan going interest 5 year 4 half year later submitted loan modification loan amount stayed tax included insurance paid separate called asking help modification knew rate going social security told yes help fill modification form received modification loan sold sly mortgage help like mentioned continued sending payment time every month asked respectful interest payment mortgage sly told going send letter within 45 day information much payment along interest never received letter approximately received letter letter new payment start amount month complaint knew going help complicated make payment bottom line mentioned going help decided sell sly submitted package modification mortgage sly denied income said better sell house help submitted new form modification little income included sure deny accept help lower mortgage accept would leave house fault telling help without knowing going go became permanent social security wife retired thing want find contract,3
202935,1314479,2015-04-04,Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,CA,Web,Closed with explanation,Yes,No,trying get loan straightened 2 year must admit partially responsible took bad advice got behind payment problem seemed get bigger trying get loan modification bank sent paperwork least occasion ca seem get enough tried since 2014 last time file bankruptcy keep bank putting house auction thought paperwork needed trying get house payment figured start making trying get modification luck called bank try get into one bank seem give straight answer anything keep getting transferred nothing person supposed contact keep transferring department hold minute numerous occasion coming away nothing sent many email called contact tell check account get back never sent letter bank ethic department several occasion problem keep sending phone number person trying straighten constantly last couple week getting nowhere slow person talked bank figure much payment supposed anything concerning account want get answer start making house payment regular basis house going go back auction block year old veteran serious medical issue stress helping situation bit want get straight answer handout nothing free move left life wind street lot email sent received however start last week thanks reading xxxi,4
202937,1315920,2015-04-04,Debt collection,False statements or representation,Transworld Systems Inc.,KS,Web,Closed with explanation,Yes,Yes,wrong filling statement generate phone returned within 7 day told account balance generate statement next month solved called debit collection agency zero balance verified phonebut collection agency sent false statement credit reporting agency invalid amount,4
202945,1315926,2015-04-04,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,OR,Web,Closed with explanation,Yes,No,filed bankruptcy chapter approved applied mortgage modification bank bankruptcy done le month immediately completed failed application mortgage modification morganchase mortgage time waiting never received call statementinformation going called get payment amount knew much approximately could pay one could give amount due month told wait modification complete monthly payment make payment nothing guess lost something happened first modification submitted made submit sent information requested yet modification transferred one customer service rep another time would want new updated information would submit primary loan payment home never missed problem making payment would gladly paid something even know send payment statement mortgage moved interest paid something like complained complained morganchase nothing happened laid work 15 year knowing laid informed situation requested information regarding laid sent current information informing going laid 19 month trying get modification finally made decision per rule longer qualified modification due current employment status working could repay gave option release property primary mortgage pay balance full moving property selling filed complaint oregon department justice advise get attorney fund severance run found work denied unemployment worked temporary service continue work fighting complain morganchase around month completed modification timely fashion would situation lost going lose home worked hard single mon buy home refuse work really bigger pinch bankruptcy decide power grab take home took 19 month get modification fair primary loan good really know oregon department justice looking guess choice try sell home ca rent buy anything point due unemployed guess homeless modification done timely fashion due incompetence pay price,4
202946,1296307,2015-03-23,Mortgage,"Loan modification,collection,foreclosure","PennyMac Loan Services, LLC",MD,Web,Closed with explanation,Yes,Yes,pennymac loan service saying unable provide home mortgage assistance due temporary financial hardship going back forth company month providing documentation say due job loss present time initial application unable provide litigation loan modification temporary forbearance understanding type plan meant assist homeowner keeping home financial hardship pennymac loan service seem provide type service,3
202954,1306040,2015-03-28,Credit reporting,Unable to get credit report/credit score,Experian,NV,Web,Closed with explanation,Yes,No,applied short term loan financial institution member banking organization 40 year application approved due credit report received experian several visit credit union attempting resolve issue unsuccessful advised issue needed address personally submitted dispute online phone call continued get result complaining credit union submitted formal dispute experian listed credit report final result last week produced promising resolution three month dispute someone discovered truth,3
202956,1315931,2015-04-04,Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",SC,Web,Closed with explanation,Yes,No,patient continues call least time day explained consigned note son private loan working making good money since taken work doctor 4 year ago applied 25 year defined draw little 100000 per month retirement check started drawing 2 year ago way pay loan back son still seeking gainful employment,4
202957,1305819,2015-03-28,Debt collection,Improper contact or sharing of info,"Rent Recover, LLC",IL,Web,Closed with explanation,Yes,No,device assist could understand gentleman name think said rent recovery also live requires every month compromise job however guy continues calling think relative mine regarding debt making payment offered resolve entire debt collector refusing take lump money currently access 98000 also said put additional 20000 amount make payment 2500 month see doctor pay sometimes make payment late ca say sure company reply refusing send written confirmation information,3
202964,1315929,2015-04-04,Mortgage,"Loan servicing, payments, escrow account",Ocwen,IL,Web,Closed with explanation,Yes,No,hold mortgage owen mortgage company since behind paying mortgage contracted telling husband company slow able catch tried make payment webster established account could go successfully contracted agent agent advised assisted day later owen sent mail telling include account payment odd payment made assistance agent fearing something right went paid bank account went called automatic phone line owen initiated automatic payment received email confirmation payment received day noticed money washed account called owen talked agent asked money washed agent told posted wanted make another payment worried last payment washed received call someone identifying owen representative first sentence conversation going recorded ensure person informed agent going record conversation agent hung phone ensued incident cascade conversation owen representative depicting lie excuse receiving payment posted offered pay way besides automatic voice mail bring account somewhat date refused accused putting wrong information causing intake system reject payment told passed day limit could pay caused lot frustration distress,4
202971,1315930,2015-04-04,Credit card,Advertising and marketing,U.S. Bancorp,CA,Web,Closed with non-monetary relief,Yes,No,u bank isa member pay annual fee advertise benefit hotel stay booking hotel reward program credit card customer changed term longer offer benefit night free hotel redemptionshttp xxxi,4
202974,1306054,2015-03-28,Credit card,Transaction issue,Bank of America,CA,Web,Closed with explanation,Yes,No,ordered obtained 50000 secured credit bank america help bring credit score first minimum payment 2500 due paid 25000 towards balance standard processing posting time payment two business day went use card grocer store today declined called sofa told available credit 100 rep informed payment received posted answer spoke supervisor also concrete answer payment posted concern follows part paid bill time able use card highly embarrassing inconvenient told card declined actually 2 account paid ample fund transaction go without issue whatsoever 3 fund type holding account drawing interest 4 biggest concern initially requested card effort bolster credit score balance least 50 total balance end reporting period credit negative affected 5 many consumer deal 6 encountered emergency unable utilize card beg assist resolving issue point know else turn thank xxxi,3
202983,1306061,2015-03-28,Mortgage,"Loan servicing, payments, escrow account",Lender Live,NJ,Web,Closed with non-monetary relief,Yes,No,complained lender live numerous time online payment option every single month attempt log site advises new password parameter implement request change password choose new password fit parameter always get notice user name found click forgot user name fill requested into told user name exact name used logging user name account number matter case sensitive enter user name password get user found message go cycle several time click forgot user name password rest everything unable log system give suddenly let sent email spoken customer service rep found extra space name record claim could culprit always mention log issue almost year still happening 2015 received call lenderlive paid mortgage advised called tried log complain every month unable provided representative month mortgage payment peace worry going wrong received call lenderlive telling paid payment also received letter mail requesting payment immediately advised first representative spoke week paid payment advised month payment sitting account applied indication entire mortgage payment went unnoticed month beyond took bank account applied anything calling accrue late fee advised representative late fee related charge would cleared payment would applied 2015 answered another call lenderlive rep told paid mortgage explained paid assured would fee anything associated error told indeed note computer regard completed 2015 received call lenderlive yet another rep telling received payment advised occurred assured simply rob dial computer rep see paid payment 2015 received yet another call lenderlive rep informing missed payment advised received call every day week regard mortgage payment already made discussed terrible webster functionality rep advised money drafted directly account informed rep egregious problem lenderlive accounting way going give much access bank account advised rep look account computer complete robocall reach live person would make sense check first 2015 received letter lenderlive dated 2015 letter read accept delay regard payment amount 150000 payment including late fee currently due,3
202993,1315942,2015-04-04,Consumer Loan,Managing the loan or lease,Capital One,GA,Web,Closed with explanation,Yes,No,car dealer persuaded take loan capital one auto finance lower rate received information mail unable pay bill online bill payment say locked wife spent hour attempting resolve web site phone customer service rest password able pay bill going week reasonable loan company make difficult pay bill trying pay bill early imagine people wait try pay bill last minute company limited hour help problem web sit allow rest pin web site work contact service representative insulting helpful implies fault able use system properly capital one sends information easy pay bill system unable way pay bill received letter pay online phone mail told customer service rep could pay phone system set look like suppose pay mail option confidence correctly process mail payment guess need use terrified mail add expense exceeds amount money suppose save using loan express strongly feel ethical company,4
202994,1315944,2015-04-04,Bank account or service,Problems caused by my funds being low,JPMorgan Chase & Co.,NY,Web,Closed with explanation,Yes,No,unemployed past month started work week got fund going back account 3000 set aside fund bus ticket visit elderly parent chase bank gave without warning 1200 fee making direct deposit amount understand ask wave postpone refused waived past 1200 customer care specialist ohio nothing able go home told take personally make travel arrangement elder parent put money chase account chase branch maryland kept telling make travel arrangement bike walk maybe suggesting chase client pitch like asked nicely could speak someone higher food chain refused comfort nothing personal yes 2015 spending alone chase bank trained employee even show compassion degree holiday clearly low middle management polite entire time phone refused let even try speak supervisor raise voice said pleasethank understand fee need paid since making direct needed week pay 1200 bus money see family overnight actually working late friday received warning chase would receive 1200 fee warning knew would bought bus ticket yesterday would able go home http located ohio get phone best politely decline help call back get another car phone willing help lot time research policy let fellow consumer know important chase bank 1200 poor last month customer going family pitch like hour arrangement closing want refused waived one week could go home ohio http happy xxxi,4
202995,1306066,2015-03-28,Credit card,Rewards,Citibank,TX,Web,Closed with explanation,Yes,No,applied online city thank preferred card approved particular card give bonus point spend 100 3 month use account keeping track transaction made roughly 160000 purchase within two month noticed bonus point issued account reward card usually bonus point rewarded soon threshold spending level reached city thank preferred card contracted customer service department get explanation waiting two day remained response informed enrolled bonus point program contract given 18 month 0 april introductory offer instead city thank preferred card according city webster 12 month 0 introductory april plus bonus point program 18 month offer even standard issue particular card needle say informed change feel used bait switch technique get people sign card seems like form fraud incidentally say could contest sent printed material confirms bonus point offer offered applied online webster also mentioned various webster help consumer compare credit card help decide card best feel people made aware citibank fraudulent practice regard reward program,3
202997,1306069,2015-03-28,Credit reporting,Improper use of my credit report,Equifax,GA,Web,Closed with explanation,Yes,No,disputed unauthorized inquiry credit report equifax stated needed send letter company placed inquiry state fraudulent request removal sent letter stated review process open account inquiry never requested credit company date,3
203000,1296327,2015-03-23,Consumer Loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,AL,Web,Closed with explanation,Yes,No,company said receive payment car reply financing sent copy receipt showing submitted payment,3
203002,1315946,2015-04-04,Bank account or service,Deposits and withdrawals,Bank of America,TX,Web,Closed with explanation,Yes,No,bank america refused return residual balance bank account 300 contracting customer service organization communicated would charge 5000 return 300 could take 300 every financial company required provide least option returning customer money without fee,4
203005,1315949,2015-04-04,Debt collection,Communication tactics,"Expert Global Solutions, Inc.",AL,Web,Closed with explanation,Yes,No,receive call per day company day collection agency no group asked repeatedly put everything writing still yet receive documentation call start early morning last till late night block number calling move another number received voice mail stating needing return call concerning legal matter notified legal action taken,4
203006,1306042,2015-03-28,Credit reporting,Incorrect information on credit report,Experian,MD,Web,Closed with non-monetary relief,Yes,No,experian listed credit report debt abolished 2013 joint account consigned worker purchase used car agreed relieve financial obligation garnishment prompt deletion credit entry exchange sometime payment 300000 payment immediately rendered stipulation signed judge county district court month experian keep verifying debt valid supplying fictitious information collection effort remain effect party account county district court assured verify debt make entry credit report make deletion also account listed amount 8100 account paid directly several month ago never contracted mean representative spoke said account would delete could send writing referred webster print paid letter proof paid directly also listing erroneous account past due amount 150000 also several collection account paid provided written proof supplied collection agency medical bill company collection collection company agreed delete entry electronically remain credit file additional open claim damage vehicle rented south dakota several travel contract work never notified allowed investigate validity debt realized credit report called spoke agreed delete entry paid believe would pay extra fee minor baggage damage visible vehicle returned made aware collection effort checked credit earlier year account appears experian credit report verified valid never received notice debt never allowed investigate validity alleged debt lastly paid 72000 effort remove collection experian credit report despite never contracting company paid refused collect pony owed delinquent entry collection account debt made several call request deletion improper entry credit report told policy delete especially since already paid never received notice item appeared credit report never allowed validity debt,3
203009,1306043,2015-03-28,Credit reporting,Incorrect information on credit report,Equifax,MD,Web,Closed with explanation,Yes,Yes,experian listed credit report debt abolished joint account consigned worker purchase used car agreed relieve financial obligation garnishment prompt deletion credit entry exchange sometime payment 300000 payment immediately rendered stipulation signed judge county district court month experian keep verifying debt valid supplying fictitious information collection effort remain effect second party account county district court assured verify debt make entry credit report make deletion equifax also account listed collection amount 8100 account paid directly several month ago never contracted mean representative spoke said account would delete could send writing referred webster print paid letter proof paid directly equifax also listing erroneous account past due amount 150000 equifax also several collection account paid provided written proof supplied collection agency medical bill company collection collection company agreed delete entry electronically remain credit file additional open claim damage vehicle rented south dakota several travel contract work never notified allowed investigate validity debt realized credit report called spoke agreed delete entry paid believe would pay extra fee minor baggage damage visible vehicle returned made aware collection effort checked credit earlier year account appears experian credit report verified valid never received notice debt never allowed investigate validity alleged debt lastly paid 72000 effort remove collection transition experian credit report despite never contracting company paid refused collect pony owed delinquent entry collection account debt made several call request deletion improper entry credit report told policy delete especially since already paid never received notice item appeared credit report never allowed validity debt,3
203012,1296331,2015-03-23,Debt collection,Cont'd attempts collect debt not owed,"J.S Resolution Group, Inc.",WI,Web,Closed with explanation,Yes,No,received phone call representative company called j resolution threatening legal action recording voicemail xxxi,3
203013,1296332,2015-03-23,Debt collection,Taking/threatening an illegal action,"Portfolio Recovery Associates, Inc.",TX,Web,Closed with explanation,Yes,No,xxxxxxxx2015 received unknown call cell phone message left threat law suit law department person calling leave name law department calling needed call portfolio recovery message stated must call today discus lawsuit would filed delivered home work xxxxxxxx2015 spoken anyone received strong message individual leaving message warrant would issued message say needed call number unknown tone individual leaving message strong threatening like summer take information steal identity nerve scared go outside car work,3
203014,1315953,2015-04-04,Credit reporting,Incorrect information on credit report,Experian,OK,Web,Closed with non-monetary relief,Yes,No,closed credit card someone changed personal information address login password account paid balance charged get card closed accepted charge card closed sent collection tried working collection agency experian avail say lived pennsylvania address charge attached never lived pennsylvania see payment history reported credit bureau everything perfect date closed account still reported account good standing data show charged data account closed charge incurred account closed experian refuse correct error remove credit report attached investigation result correspondence xxxi,4
203016,1306044,2015-03-28,Debt collection,Disclosure verification of debt,"Cavalry Investments, LLC",MD,Web,Closed with explanation,Yes,Yes,cavalry portfolio service paid 72000 2013 effort remove collection credit report despite never contracting company paid refused collect pony owed delinquent entry cavalry portfolio collection account debt made several call request deletion improper entry credit report told policy delete especially since already paid never received notice item appeared credit report never allowed validity debt,3
203019,1306076,2015-03-28,Debt collection,Cont'd attempts collect debt not owed,"Portfolio Recovery Associates, Inc.",OR,Web,Closed with non-monetary relief,Yes,No,received letter portfolio recovery associate ll today debt purchased paid amount owed back clear debt problem paid debt statute limitation ran state letter age debt sue report credit reporting agency receive another letter take court,3
203020,1306070,2015-03-28,Credit reporting,Improper use of my credit report,Equifax,GA,Web,Closed with explanation,Yes,No,contracted equifax regarding unauthorized inquires credit report transition removed immediately removed equifax stated contact directly removal consider inquiry fraudulent sent letter directed responded stating extended alert credit file response regarding removal sent letter response equifax experian still refuse remove sent additional letter response date,3
203023,1306077,2015-03-28,Mortgage,"Application, originator, mortgage broker",KeyBank NA,ME,Web,Closed with explanation,Yes,No,home equity go repayment stopped branch ask question loan would remain fixed rate sale pitch began agreed loan larger dollar filled apt supplied into asked received call saying approved day later decided new loan would best interest called branch left message lender longer interested let account go repay received message following sure likely attempt change mindtoday received denial letter saying regretted carefully considering application unable approve reason credit application incomplete failure supply requested additional information untrue denied complaint impact concern denial may impact credit report need corrected would call bank want make sure customer receive denial letter denied credit report impacted,3
203028,1315957,2015-04-04,Debt collection,Cont'd attempts collect debt not owed,"URS Holding, LLC",OH,Web,Closed with explanation,Yes,No,filed bankruptcy included private loan credit card past due bill point time financially responsible maintained positive credit profile recently within past month company mr contracted multiple time day contracted wife family member seen year claimed debt due year still valid initially attempted explain debt addressed b current however accept reopened collection account without knowledge approval written notice found today pulled credit report seeing denial credit lender received written notice revival debt one contracted decade yesterday call alone hour window increased call decadence,4
203029,1315958,2015-04-04,Debt collection,Cont'd attempts collect debt not owed,Brazos Higher Education Servicing,OH,Web,Closed with monetary relief,Yes,No,filed bankruptcy included private loan credit card past due bill point time financially responsible maintained positive credit profile recently within past month company contracted multiple time day contracted wife family member seen year claimed debt due year still valid initially attempted explain debt addressed b current however accept reopened collection account without knowledge approval written notice found today pulled credit report seeing denial credit lender received written notice revival debt one contracted decade yesterday call alone hour window increased call xxxi,4
